player1,player1_deck,player2,player2_deck,player1_win,draw
Nath,,KFCBody,,True,False
Estradamente,,Saltymango,,False,False
Lightning_Saix,,ShermanD,,True,False
SquidArcanist,,Setting_,,True,False
Roddish,,Darkbolt200,,False,False
Nath,,SquidArcanist,,True,False
Lightning_Saix,,Darkbolt200,,False,False
KFCBody,,ShermanD,,False,False
Saltymango,,Roddish,,True,False
Estradamente,,Setting_,,False,False
Nath,,Darkbolt200,,False,False
SquidArcanist,,ShermanD,,False,False
KFCBody,,Estradamente,,False,False
Saltymango,,Lightning_Saix,,True,False
Roddish,,Setting_,,False,False
